Author & Year,Title of Research,Methodology,Result,Contribution to Knowledge,Research Gap / Limitation
Ekpenyong et al. (2018),An analysis of pharmacy workforce capacity in Nigeria,Census-based analysis using PCN data (2011–2016),"21,892 registered pharmacists; only 59% in active practice; density 0.53–0.66 per 10,000",Definitive pharmacy workforce baseline for Nigeria,Population data based on 2006 census estimates
Felisberto et al. (2024),Override rate of DDI alerts in CDSS: Systematic review and meta-analysis,"Meta-analysis of 16 studies; >570,000 prescriptions",~90% DDI alert override rate (95% CI: 85–95%),Quantified the severity of alert fatigue in DDI alerting systems,Heterogeneous study designs limited pooled analysis
"Hak, Guimarães & Santos (2022)",Towards effective clinical decision support systems,Systematic review; 52 CDSS studies (2000–2020); PRISMA,Most CDSS do not exceed maturity level 2; “choice” and “implementation” phases underrepresented,Developed a CDSS Maturity Staging Model based on Simon’s decision theory,Only open-access articles included
Hevner et al. (2004),Design science in information systems research,Theoretical framework development; seven DSR guidelines,Established guidelines for building and evaluating IS artefacts,Foundational DSR framework for information systems,Broad framework; requires operationalization for specific domains
Hodkinson et al. (2020),Preventable medication harm across health care settings,"Systematic review and meta-analysis; 81 studies; 285,687 patients",Pooled preventable harm prevalence ≈3%; >25% severe/life-threatening; prescribing errors 58%,Most comprehensive quantification of preventable medication harm globally,Systematic underreporting likely understates true burden
Holbrook et al. (2025),Effect of electronic DDI alerts on patient and clinician outcomes,"Systematic review; MEDLINE, EMBASE, CINAHL, Cochrane; 8 studies; 43,413 patients",CDSS-DI is ubiquitous but impact on patient outcomes remains unproven,First systematic review focused specifically on DDI alert patient outcomes,Most studies had high risk of bias; heterogeneous outcomes
Hughes et al. (2023),Prevalence of DDIs in older community-dwelling individuals,Systematic review and meta-analysis; 31 studies,Pooled DDI prevalence: 28.8% (95% CI: 19.3–40.7%),Established pooled DDI prevalence estimates for older adults,Heterogeneous DDI definitions across included studies
"Hussain, Reynolds & Zheng (2019)",Medication safety alert fatigue: Systematic review,"Systematic review; PubMed, Embase, CINAHL, Cochrane (2007–2017)",Modal pop-ups least accepted; pharmacist-mediated advice most accepted CDS design,Identified tiered alerts and role-based routing as alert fatigue mitigation strategies,Heterogeneity precluded meta-analysis; academic medical centre bias
Kaboré et al. (2022),Barriers and facilitators for sustainability of digital health interventions in LMICs,Systematic review; Frontiers in Digital Health,"Five dominant barriers: infrastructure, connectivity, electricity, equipment, design limitations",Synthesized sustainability barriers specific to LMIC digital health contexts,Predominantly SSA studies; limited generalizability to other LMIC regions
"Kheshti, Aalipour & Namazi (2016)",A comparison of five common DDI software programs,"Cross-sectional evaluation; 400 drug pairs; sensitivity, specificity, accuracy",Lexi-Interact and Epocrates scored highest accuracy (250/400 each),Demonstrated that combining multiple DDI resources improves sensitivity,Iranian pharmacy setting; software versions from 2013
Knox et al. (2024),DrugBank 6.0: The DrugBank Knowledgebase for 2024,Database description and update report,"~17,000 drug entries; ~2.6 million DDI entries; expanded target and pathway data",Definitive reference for the DrugBank knowledge base,Coverage of non-Western marketed drugs may be incomplete
Kokol et al. (2022),Agile software development in healthcare: A synthetic scoping review,"Scoping review; 224 papers; Scopus, WoS; bibliometric + thematic analysis",ASD improves software quality and reduces development resources in healthcare,First large-scale synthesis of agile methods in healthcare software,Only two databases used; possible exclusion of grey literature
Lanke et al. (2025),Effectiveness of mobile apps on medication adherence: Systematic review and meta-analysis,"Systematic review and meta-analysis; RCTs from MEDLINE, Embase, Cochrane",mHealth apps significantly improved medication adherence vs. standard care,Meta-analytic evidence for mHealth effectiveness in chronic disease adherence,Reliance on self-reported adherence measures; study heterogeneity
Lapão et al. (2021),Implementation of digital monitoring services during COVID-19: DSR approach,Design science research applied to digital health monitoring,Demonstrated DSR applicability for rapid digital health solution development,Validated DSR methodology in a real-world digital health implementation context,COVID-19-specific context; generalizability to non-pandemic settings uncertain
Ma & Lei (2023),DGNN-DDI: A dual GNN for DDI prediction based on molecular structure,Dual graph neural network with co-attention mechanism,"Outperformed SSI-DDI, GMPNN-CS, SA-DDI on DrugBank dataset",Identified key molecular substructures contributing to DDI predictions,Chemical structure only; no pharmacological or biological features incorporated
"Mamoun, Nasor & Abulikailik (2021)",Design and development of mobile healthcare app prototype using Flutter,Prototype development; Flutter framework; telemedicine app,Demonstrated Flutter’s suitability for rapid healthcare app prototyping,Validated Flutter as viable for cross-platform healthcare mobile development,Prototype only; no formal usability evaluation; Android-only testing
Naseralallah et al. (2022),Umbrella review of contributory factors to medication errors,"Umbrella review; 27 systematic reviews; Medline, CINAHL, Embase, Google Scholar",Decision-making mistakes most common proximal cause; organizational factors dominant systemically,First umbrella review synthesizing medication error contributory factors across all settings,Only 10/27 reviews used pre-specified error classification methodology
Ogunleye et al. (2016),Medication errors among health professionals in Nigeria,"Cross-sectional national survey; 2,386 health professionals; 10 tertiary hospitals",Self-reported medication error prevalence of 47%,First national-scale medication error survey in Nigeria,Self-reporting likely underestimates actual error rates; tertiary hospitals only
Oke & Sibomana (2025),Adoption of digital health technology in Nigeria: A scoping review,Scoping review; 230 studies (2010–2024); Arksey & O’Malley; PRISMA-ScR,mHealth largest focus (23.9%); practical application limited by infrastructure deficits,Most comprehensive mapping of digital health research trends in Nigeria,Published literature only; grey literature excluded
Oshikoya et al. (2016),Potential DDIs in pediatric outpatient prescriptions in Nigeria,"Prospective clinical audit; 4 general hospitals; 3-month period; 1,233 patients",16.9% of patients received prescriptions with ≥1 potential DDI; most major/moderate,First prospective DDI audit in Nigerian pediatric outpatient settings,Outpatient settings and pediatric populations only
Patel & Beckett (2016),Evaluation of resources for analyzing drug interactions,Cross-sectional study; 100 interaction pairs across 7 resources,Lexicomp and Clinical Pharmacology scored 97% scope; Micromedex highest completeness,Comparative baseline for DDI resource evaluation,Convenience sample of 100 interactions; subjective scoring scales
Pazan & Wehling (2021),Polypharmacy in older adults: Narrative review of definitions and consequences,Narrative review; MEDLINE (2015–2020),143 definitions of polypharmacy identified; prevalence 4–96.5% depending on setting,Highlighted the problematic heterogeneity in polypharmacy definitions,Narrative review; MEDLINE only
Peffers et al. (2007),A design science research methodology for IS research,Methodology development; six-activity DSR process model,"Structured DSR into problem identification, objectives, design, demonstration, evaluation, communication",Created the most widely adopted DSR process model,Broad methodology; requires adaptation for specific project contexts
Pham et al. (2024),DeepARV: Ensemble deep learning for DDI severity classification,Ensemble deep learning (ChemBERTa + RF baselines); 4 severity classes,Best weighted balanced accuracy: 0.776 ± 0.011,Demonstrated ML-based multi-class DDI severity classification is feasible,ARV drugs only; class imbalance challenges
Potter et al. (2025),FAERS Essentials: Guide to understanding and interpreting FAERS data,Descriptive/guidance paper; FDA-authored,"Described FAERS content, application, limitations; documented openFDA API",Authoritative reference for FAERS data interpretation and openFDA access,Guidance paper; no empirical study component
"Ravi, Thomas & Odogwu (2024)",How to reload and upgrade digital health to serve Nigeria,Perspective/review of Nigeria’s digital health landscape,">100 ICT-for-health initiatives; 74.7% out-of-pocket health expenditure; 1.95 HW per 1,000",Documented fragmentation and infrastructure barriers in Nigerian digital health,Perspective paper; not systematic empirical methodology
Sun et al. (2023),PK and PD DDIs: Research methods and applications,Comprehensive review of DDI evaluation methodologies,"Most DDI studies evaluate from single PK or PD perspective, causing evaluation errors",Unified review of both PK and PD DDI evaluation methods including ML approaches,Methodologically focused; no novel empirical data
Sutton et al. (2020),"An overview of CDSS: Benefits, risks, and strategies for success",Narrative review; npj Digital Medicine,"CDSS effective for drug checking, diagnosis, reminders; alert fatigue and automation bias persist",State-of-the-art CDSS overview distinguishing knowledge-based from ML-based systems,Narrative review; primarily covers high-income healthcare settings
"Tolley, Sumner & Brantley (2021)",Comparison of tertiary drug resources for adjunctive analgesic DDIs,"Comparative analysis; Micromedex, Lexicomp, Medscape; 6 drug combinations",Significant severity rating discrepancies across platforms for same drug pairs,Exposed heterogeneity in DDI severity classification across major platforms,Small number of drug pairs; pain management context only
Wang et al. (2024),Comprehensive review of ML-based DDI prediction,Systematic review; J. Chem. Inf. Model.,"Data imbalance, lack of standardized benchmarks, and limited interpretability are key challenges",Comprehensive taxonomy of ML approaches and evaluation methodology for DDI prediction,Review only; no novel model contribution
"Wu, Zhu et al. (2024)",RxNorm for drug name normalization: Prescription opioids in FAERS,Case study; RxNorm API mapping of opioids in FAERS,"2,086 different names mapped to 92 RxNorm concepts across 14.9 million reports",Demonstrated RxNorm API efficiency for drug name normalization at scale,Opioids only; broader drug class validation needed
"Wu, Gray et al. (2024)",RxBERT: Enhancing drug labelling text mining with AI,BERT-based LM pre-trained on FDA drug labels; NER and classification tasks,F1: 86.5 (NER); Accuracy: 87% (sentence classification),Domain-specific language model for FDA drug label mining,GPU-intensive; not mobile-deployable; pre-training/evaluation data overlap
Xia et al. (2025),Comprehensive review of deep learning for DDI prediction,Systematic review; Briefings in Functional Genomics,Graph-based DL outperforms traditional ML; cold-start problem persists,"Classified DL approaches into sequence-based, graph-based, and hybrid architectures",Review only; does not address mobile deployment feasibility
Yu et al. (2021),SumGNN: Multi-typed DDI prediction via KG summarization,GNN with attention-based knowledge graph summarization,F1 improvement up to 5.54% over existing KG-based methods on DrugBank/TWOSIDES,Introduced interpretable reasoning paths for DDI prediction,Computational cost scales poorly with very large knowledge graphs
Zhang et al. (2023),EmerGNN: Emerging drug interaction prediction with flow-based GNN,Flow-based GNN on biomedical network; cold-start evaluation,Significantly outperformed existing methods for newly approved drug DDI prediction,First approach specifically targeting the DDI cold-start problem with GNN,Requires large biomedical knowledge graph; not mobile-deployable
Zhao et al. (2024),"DDI prediction: Databases, web servers, and computational models",Comprehensive review; Briefings in Bioinformatics,"Detailed comparison of DDI databases (DrugBank, DDInter, SIDER, TWOSIDES) and ML models",Definitive comparative reference for DDI databases and computational prediction tools,Focuses on prediction rather than clinical workflow integration
